,N,3R,B2,BT,E2,ET
0,8.0,9.310586156219269327e-18,7.3678991510325864134e-16,1.7999450129153882205e-20,2.5013628321413072797e-15,6.1666116142481200435e-17
1,16.0,9.625682412597869053e-18,7.3626136654417195793e-16,4.5845658270139005852e-20,2.501098557861763938e-15,6.144985804313533688e-17
2,24.0,1.9328643938881665477e-14,1.6200781312545690464e-15,3.4304834363799163732e-20,4.3740152301704984676e-14,6.1366699063977224365e-17
3,32.0,9.563001974501050828e-18,7.3232435740533396995e-16,3.4781290396629707673e-20,2.5021624312435153392e-15,6.1725858435042230306e-17
4,40.0,9.488124261963770678e-18,7.321698585957547856e-16,4.476569126238977292e-20,2.5084209882841879135e-15,6.17022632735052777e-17
5,48.0,8.815320792118531497e-15,4.5505659245111129696e-15,3.691651928449992311e-20,3.255554010745949885e-14,6.171059836201130018e-17
6,56.0,2.874434201796599934e-15,2.172671454949862532e-15,3.6119904965058378744e-20,2.5668309425933695628e-14,6.1616402288627708203e-17
7,64.0,1.07928938139142949204e-17,7.3437756526947839397e-16,3.2743117367299047482e-20,2.5035752821995355122e-15,6.1622599824816010755e-17
8,72.0,5.5797370298645519883e-15,4.8588008375578651945e-15,3.115198950457482358e-20,4.7255564304069334738e-14,6.16653989802941524e-17
9,80.0,1.0382591054264311836e-17,7.322518513850490018e-16,4.4151592375630405174e-20,2.5036410119562424458e-15,6.1449370999190665655e-17
10,88.0,5.5003798850735159215e-15,6.2699005059022039354e-15,3.6095154002313934903e-20,4.167375820928045779e-14,6.1700060164514936797e-17
11,96.0,1.2311973389183852437e-14,7.0375167733992040806e-15,3.1851968120708585668e-20,6.1967831928212229005e-14,6.16406852672630113e-17
12,104.0,1.456587003496904924e-14,9.72354677494497529e-15,3.381616150961399046e-20,7.134866500741129372e-14,6.158690636015175284e-17
13,112.0,1.0653723519424270969e-14,4.7818039830362289524e-15,2.8118468731174005898e-20,4.420153249300558997e-14,6.164415454062681267e-17
14,120.0,1.4085156358996581344e-14,1.0136070133544515063e-14,3.282252670610413814e-20,6.987308273791265324e-14,6.1571061967889613807e-17
15,128.0,1.029187382561337627e-17,7.3457831207797766315e-16,3.3576915424752499378e-20,2.500404837877962666e-15,6.171175665995942629e-17
16,136.0,1.5163809829204966802e-14,1.0418375306408691864e-14,3.640996036506352781e-20,7.285114701867528779e-14,6.169106533076218484e-17
17,144.0,5.5661142123358348664e-15,4.8604007886804566505e-15,3.1410805127346970906e-20,4.7230911042539980237e-14,6.158928280636262267e-17
