,N,4R,Bianchi_ID,B2,BT,E2,ET
0,13.0,3.7636349856460067,16.74317329568739,61.18220973491936,2.9082709571238516,118.13868750674683,1.2656542480726785e-15
1,15.0,2.2369714446243836,17.550419316087478,11.88095266270181,1.4345266431194441,5.119566959807059,1.336232711780992e-15
2,16.0,1.7229747590666427,17.66904557798505,5.222959160796042,1.0542097483104156,0.3803154943116561,1.031726787337206e-15
3,17.0,1.3396648349016365,17.612857201970588,2.109744855322051,0.7934256118799676,0.7258039025015464,6.214164985054696e-16
4,19.0,0.8378791514454869,17.076646290979227,0.07244346088633784,0.47643247928401333,0.8322314238954803,4.707408705264336e-16
5,20.0,0.6739381182144469,16.649602030299928,0.3894400339448168,0.37820978386945653,0.7155422765859727,3.41740524767431e-16
6,22.0,0.44967653397505636,15.595309509090457,0.5456961062791452,0.24780834302155477,0.5034094505595993,4.222812575806399e-16
7,24.0,0.31114600677424065,14.39560998947829,0.4935358939695655,0.16948877566184856,0.35526562992333327,6.140921104957897e-16
8,26.0,0.22206888465778485,13.155099213434518,0.40371721534707133,0.12002689388976368,0.2560637715804384,4.051543051670276e-16
9,28.0,0.16274320468423986,11.940087005235657,0.320436876058918,0.08748275404634083,0.18877260235672458,6.759350024143628e-16
10,31.0,0.10644277190373083,10.244770198889682,0.22456503454594995,0.05690260647605511,0.12415614183828273,3.680630679463834e-16
11,33.0,0.08211311459273694,9.223955144055168,0.1781661821693898,0.04378365157460473,0.0960178979944275,8.49598169594401e-16
12,36.0,0.05730785439429452,7.8673290639046565,0.12782345550536617,0.030471410198972697,0.06719448355169502,1.2792346547131826e-15
13,39.0,0.04122314581316543,6.711039136201167,0.09355780598866678,0.02187540439349549,0.048427717490993276,8.926551254445816e-16
14,43.0,0.027626483548286493,5.444231945381546,0.06360685527517237,0.014633054836745872,0.03251306615943257,7.892496180415622e-16
15,47.0,0.01921214623116233,4.438722435664022,0.044622433348168136,0.010163117084476174,0.02263862988568786,7.764444358115678e-16
16,51.0,0.013776880936551415,3.640967391455986,0.0321778220432693,0.007281135040828114,0.016248641364878025,4.615574718290849e-16
17,55.0,0.010138118064454301,3.0061695682822003,0.02376715651071004,0.005354330699501235,0.01196509107414701,7.836521030199908e-16
18,60.0,0.007125296185015332,2.388176345671534,0.016755287669257084,0.0037607255801224712,0.008414601989037006,9.500279836320676e-16
19,65.0,0.005154493058349111,1.9166415962184418,0.01214508153220554,0.0027192412643178747,0.006090013264369944,8.87478443560696e-16
20,71.0,0.0036085618934879058,1.4909981952280176,0.008515793965436664,0.0019028784306562936,0.004265269390169766,1.1492129998947305e-15
21,77.0,0.0026016993161275875,1.1751622330726632,0.006145926739172846,0.0013715003357497584,0.0030761230573075745,1.1515295560893578e-15
22,84.0,0.0018325579428622155,0.9038523744452944,0.004332341706656318,0.0009657736100008912,0.0021673151005794757,8.713789923538235e-16
23,91.0,0.001327984097679407,0.7056408012477936,0.0031410649835353476,0.0006997111425009052,0.0015708914866206256,1.0936909008962691e-15
24,99.0,0.0009464248051256314,0.5405946521293038,0.0022394194258196958,0.000498576771358081,0.0011197393184582737,8.266433935412996e-16
25,108.0,0.0006672576675446615,0.4081877925841992,0.0015792960007172912,0.00035145633257966833,0.0007895693988162211,9.813677648295994e-16
26,117.0,0.00048389072037132694,0.31371003677485326,0.0011455031785078248,0.0002548431853905828,0.0005726567082436764,9.397128367244134e-16
27,127.0,0.0003482100088147037,0.23848439215830752,0.0008244201236626208,0.00018336746701636762,0.00041212737177269914,1.204131332459128e-15
28,138.0,0.0002495548346358883,0.17989813908795474,0.0005909022038638513,0.00013140416872557868,0.0002953879203032882,1.2173488712800934e-15
29,151.0,0.00017395354135527034,0.13195082962145446,0.0004119221817990957,9.158878517492636e-05,0.0002059173346538589,1.0355768423245356e-15
