,N,B2/E2-1,E2/B2-1
0,13.0,0.574546700449498,1.350434233455271
1,15.0,1.8818014134966086,0.6529948263205759
2,16.0,2.4014488139251955,0.7060076294824433
3,17.0,1.8027536290522088,0.6432080259804482
4,19.0,0.7793500442028982,0.4379970353455812
5,20.0,0.5234871815341889,0.3436111493941318
6,22.0,0.25641503340702887,0.20408465880235974
7,24.0,0.13803388055748092,0.12129153878078147
8,26.0,0.07989544529141276,0.07398442658479104
9,28.0,0.048881648810264466,0.04660358856093098
10,31.0,0.025312492752125357,0.02468758835092509
11,33.0,0.017012180815799735,0.016727607728506594
12,36.0,0.009846101609764225,0.009750101123397784
13,39.0,0.005981994456658491,0.005946422987311444
14,43.0,0.0032719291880883745,0.0032612585809474654
15,47.0,0.0018944730542144596,0.0018908908125216887
16,51.0,0.0011494027209139484,0.0011480831110622497
17,55.0,0.0007252161031896778,0.0007246905459359405
18,60.0,0.00042715957891450995,0.0004269771915171745
19,65.0,0.00026277915844599443,0.00026271012370078907
20,71.0,0.0001539119964259361,0.0001538883111687493
21,77.0,9.421980927586564e-05,9.421093273975607e-05
22,84.0,5.569824521225083e-05,5.569514309049845e-05
23,91.0,3.435975912646069e-05,3.435857857397932e-05
24,99.0,2.0672835823614023e-05,2.067240846630484e-05
25,108.0,1.2238368264687327e-05,1.2238218488871735e-05
26,117.0,7.55815630552101e-06,7.558099180222868e-06
27,127.0,4.6139115838926e-06,4.6138902958063305e-06
28,138.0,2.7994090563386036e-06,2.7994012196663745e-06
29,151.0,1.6292106579113725e-06,1.6292080035837757e-06
