,N,Time
0,13.0,0.005281631151835124
1,15.0,0.007949999968210856
2,16.0,0.009214345614115398
3,17.0,0.010825634002685547
4,19.0,0.015484917163848876
5,20.0,0.01669308344523112
6,22.0,0.0214945117632548
7,24.0,0.027489904562632242
8,26.0,0.03435314098993937
9,28.0,0.04323209921518962
10,31.0,0.05659043788909912
11,33.0,0.06700253486633301
12,36.0,0.08758049805959066
13,39.0,0.10946615139643351
14,43.0,0.14414556423823038
15,47.0,0.18944708506266275
16,51.0,0.24435108105341594
17,55.0,0.31089533964792887
18,60.0,0.39587916135787965
19,65.0,0.48535173336664833
20,71.0,0.6445997993151347
21,77.0,0.8242114981015524
22,84.0,1.0532506982485452
23,91.0,1.3537013411521912
24,99.0,1.695288316408793
25,108.0,2.2029986500740053
26,117.0,2.821147954463959
27,127.0,3.6365471680959067
28,138.0,4.634826044241588
29,151.0,6.034588491916656
