,N,Gyxz,dxGyxz,3R,B2,BT,E2,ET
0,13.0,4.730304710704618,10.440087592848975,8.47736433922259,19.342478294542833,2.220446049250313e-16,1225.6408010509028,8.881784197001252e-16
1,15.0,8.598516794516069,2.538350327234122,2.720424211695953,2.0247332658400405,6.47630097698008e-17,23.684474152837222,6.106226635438361e-16
2,16.0,2.3706468395332694,1.1218014846242634,1.6911771456216242,0.6797919424820839,2.3245294578089215e-16,6.4698576751786145,3.972516759986888e-16
3,17.0,20.39151709240686,0.968177235514048,1.0974579156183066,0.21104634448184478,2.0539125955565397e-16,2.8489704433883953,2.331468351712829e-16
4,19.0,1.0121428911414894,0.48041545553897824,0.5095135731949555,0.012002968461329264,3.2662364876249024e-16,1.0660433888564944,4.85722573273506e-16
5,20.0,0.2837527827753793,0.17988238885523028,0.3607810778334618,0.028456002377544504,1.5959455978986625e-16,0.7315701656966913,5.342948306008566e-16
6,22.0,0.14864719370114124,0.08953739739463873,0.1920625038001901,0.02707022640159571,4.524158825347513e-16,0.37778251982817507,6.300515664747763e-16
7,24.0,0.08960668054645604,0.0489834855423465,0.10909239979122648,0.018580683385850165,6.059967342745646e-16,0.21154360464612182,1.1934897514720433e-15
8,26.0,0.06379848248647708,0.028677425497517287,0.06526762906116779,0.012064387489849027,1.363988287396621e-15,0.1256312927022936,1.0671027553651616e-15
9,28.0,0.09366249859074333,0.017726067034664145,0.04075302229435275,0.00783269792365364,8.916478666520788e-16,0.07813892495621073,1.2875442899351608e-15
10,31.0,0.014937442357337566,0.014425981760648653,0.021470318511824057,0.004229681878473028,1.6200491240911825e-15,0.041058024469062204,2.3606847470977013e-15
11,33.0,0.01146278510803635,0.008362800264557057,0.014525449266926503,0.00287935930842732,1.3907525924545487e-15,0.027757737059701065,1.805434109092814e-15
12,36.0,0.009628396214174233,0.003940716747268531,0.008457944378856516,0.001681155792063821,2.1649348980190553e-15,0.01615758811640347,1.871043829130651e-15
13,39.0,0.0037877906014647574,0.0023693703851337647,0.005156684331816922,0.0010240977284465865,1.8606515505291976e-15,0.00985178966123868,2.0719023204925955e-15
14,43.0,0.002061578259039689,0.001221305289194185,0.002828083660290447,0.0005599242700292876,1.213187256747651e-15,0.00540478974483822,1.898570906223907e-15
15,47.0,0.0016754934867380966,0.0006895247541619996,0.0016399800775593284,0.0003235476828109318,1.6129954514911203e-15,0.003135399045392643,1.8978866097743972e-15
16,51.0,0.003207809752518417,0.00041752503003229975,0.0009959306796329492,0.00019582967111966615,1.430123825630931e-15,0.001904770982034707,2.2126842736975452e-15
17,55.0,0.0005185997759231133,0.00026855127971289684,0.0006287693359865764,0.00012327031906946427,2.0866706295680087e-15,0.001202946519855117,2.3499451738523028e-15
18,60.0,0.0002955702206720867,0.00018298769169559914,0.00037054147666267895,7.241812095856032e-05,2.3093506273941244e-15,0.0007091554419715503,3.287590107555379e-15
19,65.0,0.00024581016047074824,0.00011829345143848605,0.00022802824102772574,4.4451231927761974e-05,2.3982388402221246e-15,0.00043653214976017166,2.4938777458222047e-15
20,71.0,8.912938742919275e-05,0.00011989117915833225,0.0001335968971056096,2.5978337540759884e-05,2.9947795655778586e-15,0.00025582500576351634,2.2084499953825414e-15
21,77.0,8.406689256417702e-05,7.306863260650055e-05,8.180047798780684e-05,1.58748598287359e-05,3.229267814691256e-15,0.00015667410711745703,2.974810568818935e-15
22,84.0,4.4508659922368495e-05,2.201166605972206e-05,4.8365022081846444e-05,9.368920476921875e-06,3.7460389728454716e-15,9.265317059583802e-05,3.5157785247911613e-15
23,91.0,2.8823351783986518e-05,1.3321131103995488e-05,2.9839840846569452e-05,5.772001436047012e-06,3.1943505505987098e-15,5.7173449442340966e-05,3.366219925870488e-15
24,99.0,1.2176828904879363e-05,7.78528133969509e-06,1.7955406243437253e-05,3.468631710577293e-06,4.149618069338911e-15,3.440767532258843e-05,3.582782219050766e-15
25,108.0,7.987058765535071e-06,5.546451129004315e-06,1.0630655919744344e-05,2.0512836267708168e-06,3.4594903620029558e-15,2.037392310837623e-05,3.5480154693863972e-15
26,117.0,1.3758622516155778e-05,3.945196685181278e-06,6.565743761318847e-06,1.2657860262028847e-06,3.687939504046883e-15,1.2584650476704915e-05,3.6138275738297645e-15
27,127.0,2.9175102264078507e-06,3.1327936540529984e-06,4.008331960811286e-06,7.721459110253825e-07,3.774524473170074e-15,7.683483871562981e-06,3.9842525414156704e-15
28,138.0,2.2937541448081025e-06,1.2558672583258302e-06,2.4321196416310014e-06,4.6819533888918496e-07,3.824996426295686e-15,4.662421579022207e-06,4.083490875686182e-15
29,151.0,5.087566758310489e-06,6.385063984603826e-07,1.4155253361033703e-06,2.723274776323436e-07,4.234172964284225e-15,2.7137733169439656e-06,4.33402018435451e-15
